sku,msrp,qty,price,cost,upc,type,status,visibility,enable_googlecheckout,tax_class_id,category_ids,iceus_component_type_1,iceus_watch_brand_and_designer,iceus_watch_collection,iceus_item_target_audience,name,url_path,url_key,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,gift_message_available,product_type_id,description,iceus_watch_strap_material,iceus_watch_dial_color,iceus_watch_movement_type,iceus_watch_clasp_type,iceus_watch_band_type,iceus_watch_band_color,iceus_watch_case_shape,iceus_watch_case_diameter,iceus_watch_bracelet_width,iceus_watch_bracelet_length,iceus_watch_crystal,iceus_watch_crown_type,country_of_manufacture,iceus_watch_water_resist,iceus_watch_bezel_material,attribute_set,iceus_vendor,weight
al-20050-bk,495,25,146.99,108,7.23E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20050-bk/,A-Line-Womens-Marina-al-20040-bkbgr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Black ceramic case, Black dial, Black Ceramic bracelet, Swiss made chronograph quartz, (G10.211) movement, 10 ATM/100 meters/330 feet",Ceramic,Black textured,Quartz,Push button hidden,Bracelet,Black,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,10 ATM/100 Meters/330 feet,Black ceramic,Ice US,Accuratime Corp,1
al-20050-bk-sl,495,25,146.99,108,7.23E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20050-bk-sl/,A-Line-Womens-Marina-al-20040-bkbsr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Black ceramic case, Black textured dial, Black ceramic bracelet, Quartz movement, 10 ATM/100 Meters/330 feet",Ceramic,Black textured,Quartz,Push button hidden,Bracelet,Black,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Black ceramic,Ice US,Accuratime Corp,1
al-20050-gr,695,11,556.99,139,7.54E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,394",Watch,Jivago,Prexy,Women,Jivago Women's Prexy,Jivago-Womens-Prexy-al-20050-gr/,Jivago-Womens-Prexy-jv0422,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Ceramic case, Ceramic bracelet, Silver dial, Swiss Parts Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 meters - 99 feet",Ceramic,Grey,Swiss Parts Qua,Deployment,Bracelet,Silver,Round,38mm,20mm,7 inches,Mineral,Push/pull,China,3 ATM - 30 meters - 99 feet,"Day-Date-Month display, Crystals on bezel",Ice US,Accuratime Corp,1
al-20050-lbu,495,25,146.99,108,7.23E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20050-lbu/,A-Line-Womens-Marina-al-20040-nbwyr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Blue ceramic case, Silver textured dial, Blue ceramic bracelet, Quartz movement, 5 ATM/50 meters/165 feet",Ceramic,Silver textured,Quartz,Push button hidden,Bracelet,Blue,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Blue ceramic,Ice US,Accuratime Corp,1
al-20050-lbu-sl,275,25,81.99,60.12,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Amore,Women,A Line Women's Amore,A-Line-Womens-Amore-al-20050-lbu-sl/,A-Line-Womens-Amore-al-20050-lbu-sl,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel, Black Dial,Japanese quartz, Mineral, Water Resistant10 ATM/100 Meters/300 Feet.",Stainless Steel,Silver,Quartz,Hidden,Strap,Silver,Round,37mm,17mm,6 inches,Mineral,Pull/push,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-20050-nb,275,25,81.99,60.12,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Amore,Women,A Line Women's Amore,A-Line-Womens-Amore-al-20050-nb/,A-Line-Womens-Amore-al-20050-nb,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Blue dial, Blue silicone bracelet, Swiss made quartz, ISA 2331/103 movement, 10 ATM/100 Meters/330 Feet",Stainless Steel,Navy blue,Quartz,Hidden,Bracelet,Navy blue,Round,37mm,17mm,6 inches,Mineral,Pull/push,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-20050-nb-sl,495,25,130.99,96.66,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,901",Watch,Cabochon,Ceramique,Women,Cabochon Women's Ceramique,Cabochon-Womens-Ceramique-al-20050-nb-sl/,Cabochon-Womens-Ceramique-cabochon-309,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Royal blue ceramic case, Ceramic Bracelet,Royal dial, Swiss movement quartz movement, mineral, 10 ATM/100 meters/330 feet",Ceramic,White,Swiss movement quartz,Push button hidden,Bracelet,Royal blue,Round,39mm,19.5mm,6 inches,Crystal,Screw-down,China,10 ATM/100 meters/330 feet,,Ice US,Accuratime Corp,1
al-20050-sl,295,25,91.99,67.68,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,907",Watch,Invicta,Pro Diver,Women,Invicta Women's Pro Diver,Invicta-Womens-Pro-Diver-al-20050-sl/,Invicta-Womens-Pro-Diver-invicta-14987,No layout updates,Block after Info Column,Use config,Use config,No,simple,"18k gold plated stainless steel, Silver Dial,Quartz, Flame Fusion, Water Resistant10 ATM/100 meters/330 feet.",Gold,Gold,Quartz,Deployment with safety,Bracelet,Gold,Round,37mm,17mm,6 inches,Flame-Fusion,Push/Pull,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-20050-sl-bk,195,25,107.99,79.01,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,907",Watch,Invicta,Pro Diver,Women,Invicta Women's Pro Diver,Invicta-Womens-Pro-Diver-al-20050-sl-bk/,Invicta-Womens-Pro-Diver-8944,No layout updates,Block after Info Column,Use config,Use config,No,simple,"18k yellow gold plated stainless steel, Blue Dial,Japan quartz, Mineral, Water Resistant20 ATM,200 meters,660 feet.",Gold,Blue,Japan quartz,Deployment clasp with safety,Bracelet,Yellow,,25 mm,13 mm,6 inches,Mineral,Screw-down,China,"20 ATM,200 meters,660 feet",,Ice US,Accuratime Corp,1
al-20100dv,395,25,112.99,82.8,U722631387236,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20100dv/,A-Line-Womens-Marina-al-20100dv,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Dark blue ion plated stainless steel case, White dial, White textured silicone bracelet, Japanese chronograph quartz movement, 5 ATM/50 meters/165 feet",Silicone,White,Japanese chronograph quartz,Buckle,Strap,White,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Dark blue ion plated stainless steel,Ice US,Accuratime Corp,1
al-20101dv,375,25,112.99,82.8,7.23E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20101dv/,A-Line-Womens-Marina-al-20101dv,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White Chronograph dial, Japanese Quartz movement, Scratch resistant Hardlex, Water resistant up to 10 ATM - 100 meters - 330 feet",Silicone,White textured,Japanese chronograph quartz,Buckle,Strap,White,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,10 ATM/100 meters/330 feet,Stainless steel,Ice US,Accuratime Corp,1
al-20102dv,395,25,108.99,80.28,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20102dv/,A-Line-Womens-Marina-al-20102dv,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Blue dial, Blue textured silicone bracelet, Japanese quartz movement, 5 ATM/50 meters/165 feet",Stainless Steel,White textured,Quartz,Buckle,Bracelet,White,Round,37mm,17mm,6 inches,Mineral,Pull/push rose gold tone ion plated with white cabochon,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-20103dv,7000,1,7088.99,5250,7.61E+12,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,380",Watch,Cartier,Santos,Women,Cartier Women's Santos,Cartier-Womens-Santos-al-20103dv/,Cartier-Womens-Santos-w20012c4,No layout updates,Block after Info Column,Use config,Use config,No,simple,"18k-gold-and-steel case, 18k-gold-and-steel bracelet, Silver dial, Swiss Quartz movement, Scratch-resistant Sapphire, Water resistant up to 3 ATM - 30 Meters - 99 Feet",Gold,Beige,Swiss Automatic,Deployment,Bracelet,Silver,Square,24mm,14mm,6 inches,Sapphire,Push Screw,Switzerland,3 ATM - 30 Meters - 99 Feet,"Analog Display, Stationary bezel,",Ice US,Accuratime Corp,1
al-20104dv,395,25,112.99,82.8,7.23E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20104dv/,A-Line-Womens-Marina-al-20104dv,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Black ion plated stainless steel case , Silicone, Black dial, Swiss made chronograph quartz, ISA 8172/220 movement, Sapphitek, 20 ATM/200 meters/660 feet",Silicone,White textured,Japanese chronograph quartz,Buckle,Strap,White,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 Meters/165 Feet,Black ion plated stainless steel,Ice US,Accuratime Corp,1
al-20106dv,695,25,159.99,118.08,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,919",Watch,Red Line,Ignition,Men,Red Line Men's Ignition Automatic Black Dial Two Tone Stainless Steel,Red-Line-Mens-Ignition-Automatic-Black-Dial-Two-Tone-Stainless-Steel-al-20106dv/,Red-Line-Mens-Ignition-Automatic-Black-Dial-Two-Tone-Stainless-Steel-rl-60019,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Polished stainless steel case, Stainless steel Strap,White mother of pearl dial, Swiss quartz movement, Mineral,Water resistant up to5 ATM/50 meters/165 feet",Stainless Steel,Black,Japanese automatic,Buckle,Bracelet,Silver & Black,Round,46mm,23mm,7 inches,Mineral,,China,10 ATM/100 meters/330 feet,,Ice US,Accuratime Corp,1
al-20108dv,1475,25,224.99,165.91,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,915",Watch,Swiss Precimax,Desire Elite Ceramic Diamond,Women,Swiss Precimax Women's Desire Elite Ceramic Diamond,Swiss-Precimax-Womens-Desire-Elite-Ceramic-Diamond-al-20108dv/,Swiss-Precimax-Womens-Desire-Elite-Ceramic-Diamond-sp12077,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A quintessential representation of luxury timepieces, this pristine watch is a paradigm of high-quality fashion accessories that stand for what Swiss Precimax is all about. The scratch-resistant Sapphimaxª crystal is surrounded by 16 diamonds and 40 Swarovski crystal accents embellish this watch with a sophisticated air, and the stainless steel and white ceramic band accentuates this quality even further. This watch incorporates dazzling silver details which, joined with an eye-catching mother-of-pearl dial, ensures this timepiece will be the center of attention in any setting.",Ceramic,Mother-Of-Pearl,Swiss Quartz,Deployment Clasp With Push Button,,Gold,,34mm,17,,Sapphimax,Push Button,China,50 Meters / 165 Feet / 5 ATM,,Ice US,Accuratime Corp,1
al-20109dv,595,25,159.99,118.08,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A-Line Women's Marina,A-Line-Womens-Marina-al-20109dv/,A-Line-Womens-Marina-al-20041-nbwgr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Navy blue ceramic case, Ceramic Bracelet,White dial, Japanese chronograph quartz movement, mineral, 10 ATM/100 meters/330 feet",Ceramic,White,Japanese chronograph quartz,Push button hidden,Bracelet,Navy blue,Round,40mm,20mm,6 inches,Crystal,Pull/push gold tone ion plated stainless steel with navy blue cabochon,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-80008-02-bu,495,25,130.99,96.66,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,901",Watch,Cabochon,Ceramique,Women,Cabochon Women's Ceramique,Cabochon-Womens-Ceramique-al-80008-02-bu/,Cabochon-Womens-Ceramique-cabochon-310,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Royal blue ceramic case, Ceramic Bracelet,Royal dial, Swiss movement quartz movement, mineral, 10 ATM/100 meters/330 feet",Ceramic,Royal,Swiss movement quartz,Push button hidden,Bracelet,Royal blue,Round,39mm,19.5mm,6 inches,Crystal,Screw-down,China,10 ATM/100 meters/330 feet,,Ice US,Accuratime Corp,1
al-80008-02-d-gn,250,25,73.99,53.82,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Adore,Women,A Line Women's Adore,A-Line-Womens-Adore-al-80008-02-d-gn/,A-Line-Womens-Adore-al-80008-02-d-gn,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Genuine leather Strap,Silver dial, Japanese quartzmovement, Water Resistant 5 ATM/50 Meters/165 Feet.",Genuine Leather,Silver,Japanese quartz,Hidden,Strap,Silver,Round,38 mm,17mm,6 inches,Mineral,Push/pull with white cabochon,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
